Main.Group,Family,Alt.Family,Genus,Form,Primary.Obs,Secondary.Obs,References.For.Family,Notes.For.Family
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Leporella,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Lyperanthus,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Microtis,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Paracaleana,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Prasophyllum,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Pterostylis,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Spiculaea,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,Orchids,Thelymitra,"herbs,*epiphytes",Orchid,,"Brundrett 2007, Dearnaley 2007.",Ramsay et al. (1986) found orchid mycorrhizas in all 144 temperate WA taxa examined. Abdul Karim (2004) observed mycorrhizas in all 12 tropical WA orchids examined.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,,Aphyllorchis,herbs,MHOrchid,Orchid,Mursidawati 2003,See Batty et al. 2002 for other references. Jones 2006 lists achlorophyllous Australian orchids.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,,Didymoplexis,herbs,MHOrchid,Orchid,Mursidawati 2003,See Batty et al. 2002 for other references. Jones 2006 lists achlorophyllous Australian orchids.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,,Dipodium,herbs,MHOrchid,Orchid,Mursidawati 2003,See Batty et al. 2002 for other references. Jones 2006 lists achlorophyllous Australian orchids.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,,Epipogium,herbs,MHOrchid,Orchid,Mursidawati 2003,See Batty et al. 2002 for other references. Jones 2006 lists achlorophyllous Australian orchids.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,,Erythrorchis,herbs,MHOrchid,Orchid,Mursidawati 2003,See Batty et al. 2002 for other references. Jones 2006 lists achlorophyllous Australian orchids.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,,Gastrodia,herbs,MHOrchid,Orchid,Mursidawati 2003,See Batty et al. 2002 for other references. Jones 2006 lists achlorophyllous Australian orchids.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,,Pseudovanilla,herbs,MHOrchid,Orchid,Mursidawati 2003,See Batty et al. 2002 for other references. Jones 2006 lists achlorophyllous Australian orchids.
ANGIOSPERMS - MONOCOTYLEDONS,Orchidaceae,,Rhizanthella,herbs,MHOrchid,Orchid,Mursidawati 2003,See Batty et al. 2002 for other references. Jones 2006 lists achlorophyllous Australian orchids.
ANGIOSPERMS - MONOCOTYLEDONS,Pandanaceae,,Pandanus,"shrubs, trees",VAM,(NM),"Reddell & Milnes 1992, Brundrett et al. 1995,Peterson et al. 1985, Koske et al. 1992.","VAM - Reddell & Milnes 1992, Brundrett et al. 1995. NM Great Barrier Reef and Hawaii - Peterson et al. 1985, Koske et al. 1992."
ANGIOSPERMS - MONOCOTYLEDONS,Philydraceae,,Philydrella,herbs,VAM,,"Brundrett et al. 1995, Brundrett unpublished",
ANGIOSPERMS - MONOCOTYLEDONS,Philydraceae,,Philydrum,herbs,VAM,,"Brundrett et al. 1995, Brundrett unpublished",
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Alloteropsis,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Bambusa,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Brachiaria,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Capillipedium,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Chionachne,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Danthonia,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Digitaria,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Ectrosia,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Eragrostis,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Eriachne,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Festuca,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Heteropogon,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Imperata,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Micraira,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Mniesithea,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Panicum,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Paspalum,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Poa,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Plectrachne,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Schizachyrium,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Setaria,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Sorghum,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Spinifex,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Tetrarrhena,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Themeda,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Triodia,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Triraphis,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Poaceae,(Graminae),Zoysia,grasses,VAM,,"Crush 1973, McGee 1986, Logan et al. 1989, Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995, Johnson & Ryan 2000, O'Connor et al. 2001.",Usually low levels of colonisation and some nonmycorrhizal samples 
ANGIOSPERMS - MONOCOTYLEDONS,Potamogetonaceae,(Zannichelliaceae),Potamogeton,aquatic herbs,VAM,(NM),Clayton & Bgyaraj 1984,Low levels of VAM or NM in submerged aquatics - Clayton & Bgyaraj 1984
ANGIOSPERMS - MONOCOTYLEDONS,Potamogetonaceae,(Zannichelliaceae),Zannichellia,aquatic herbs,VAM,(NM),Clayton & Bgyaraj 1984,Low levels of VAM or NM in submerged aquatics - Clayton & Bgyaraj 1984
ANGIOSPERMS - MONOCOTYLEDONS,Restionaceae,,Leptocarpus,rushes,NM,,"Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995,Pate & Dixon 1996", Sand binding roots with very long root hairs - Pate & Dixon 1996
ANGIOSPERMS - MONOCOTYLEDONS,Restionaceae,,Loxocarya,rushes,NM,,"Brundrett & Abbott 1991, Reddell & Milnes 1992, Brundrett et al. 1995,Pate & Dixon 1996", Sand binding roots with very long root hairs - Pate & Dixon 1996
ANGIOSPERMS - MONOCOTYLEDONS,Capillaroid and Sand Binding Roots,,Alexgeorgia,rushes,VAM,,Meney et al. 1993,VAM present early winter only  
ANGIOSPERMS - MONOCOTYLEDONS,Capillaroid and Sand Binding Roots,,Lyginia,rushes,VAM,,Meney et al. 1993,VAM present early winter only  
ANGIOSPERMS - MONOCOTYLEDONS,Ruppiaceae,,Ruppia,aquatic herbs,VAM,,"Clayton & Bgyaraj 1984 , Belik & Khan unpublished",Submerged aquatic 
ANGIOSPERMS - MONOCOTYLEDONS,Smilacaceae,,Smilax,vine,VAM,,Reddell et al. 1996,
ANGIOSPERMS - MONOCOTYLEDONS,Stemonaceae,,Stemona,vine,VAM,,Brundrett et al. 1995,
ANGIOSPERMS - MONOCOTYLEDONS,Taccaceae,,Tacca,herb,VAM,,Brundrett et al. 1995,
ANGIOSPERMS - MONOCOTYLEDONS,Xanthorrhoeaceae,,Xanthorrhoea,shrubs,VAM,,"Logan et al. 1989, Brundrett & Abbott 1991",
ANGIOSPERMS - MONOCOTYLEDONS,Xyridaceae,,Xyris,herb,NM,,Brundrett et al. 1995,
ANGIOSPERMS - MONOCOTYLEDONS,Zingiberaceae,,Curcuma,herb,VAM,,Brundrett et al. 1995,
