State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Cheilanthes tenuifolia (Burm.f.) Sw.,Cheilanthes tenuifolia,native,Cheilanthes tenuifolia (Burm.f.) Sw.,Cheilanthes tenuifolia,native,(Burm.f.) Sw.,accepted,Similar for the state flora and the APC,native,native,native
Cheilocostus potierae (F.Muell.) M.G.Harr. & Zich,Cheilocostus potierae,native,Cheilocostus potierae (F.Muell.) M.G.Harr. & Zich,Cheilocostus potierae,native,(F.Muell.) M.G.Harr. & Zich,accepted,Similar for the state flora and the APC,native,native,native
Cheiranthera borealis (E.M.Benn.) L.Cayzer & Crisp,Cheiranthera borealis,native,Cheiranthera borealis (E.M.Benn.) L.Cayzer & Crisp,Cheiranthera borealis,native,(E.M.Benn.) L.Cayzer & Crisp,accepted,Similar for the state flora and the APC,native,native,native
Cheirostylis notialis D.L.Jones,Cheirostylis notialis,native,Cheirostylis notialis D.L.Jones,Cheirostylis notialis,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Cheirostylis ovata (F.M.Bailey) Schltr.,Cheirostylis ovata,native,Cheirostylis ovata (F.M.Bailey) Schltr.,Cheirostylis ovata,native,(F.M.Bailey) Schltr.,accepted,Similar for the state flora and the APC,native,native,native
Chenopodium album L.,Chenopodium album,naturalised,Chenopodium album L.,Chenopodium album,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Chenopodium auricomiforme Murr & Thell.,Chenopodium auricomiforme,native,Chenopodium auricomiforme Murr & Thell.,Chenopodium auricomiforme,native,Murr & Thell.,accepted,Similar for the state flora and the APC,native,native,native
Chenopodium auricomum Lindl.,Chenopodium auricomum,native,Chenopodium auricomum Lindl.,Chenopodium auricomum,native,Lindl.,accepted,Similar for the state flora and the APC,native,native,native
Chenopodium desertorum (J.M.Black) J.M.Black,Chenopodium desertorum,native,Chenopodium desertorum (J.M.Black) J.M.Black,Chenopodium desertorum,native,(J.M.Black) J.M.Black,accepted,Similar for the state flora and the APC,native,native,native
Chenopodium desertorum subsp. anidiophyllum (Aellen) Paul G.Wilson,Chenopodium desertorum subsp. anidiophyllum,native,Chenopodium desertorum subsp. anidiophyllum (Aellen) Paul G.Wilson,Chenopodium desertorum subsp. anidiophyllum,native,(Aellen) Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
