State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Ranunculus trilobus Desf.,Ranunculus trilobus,naturalised,Ranunculus trilobus Desf.,Ranunculus trilobus,naturalised,Desf.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Ranunculus undosus Melville,Ranunculus undosus,native,Ranunculus undosus Melville,Ranunculus undosus,native,Melville,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus victoriensis B.G.Briggs,Ranunculus victoriensis,native,Ranunculus victoriensis B.G.Briggs,Ranunculus victoriensis,native,B.G.Briggs,accepted,Similar for the state flora and the APC,native,native,native
Ranunculus x ligulatus Melville,Ranunculus x ligulatus,native,Ranunculus x ligulatus Melville,Ranunculus x ligulatus,native,Melville,accepted,Similar for the state flora and the APC,native,native,native
Raphanus maritimus Sm.,Raphanus maritimus,naturalised,Raphanus maritimus Sm.,Raphanus maritimus,naturalised,Sm.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Raphanus raphanistrum L.,Raphanus raphanistrum,naturalised,Raphanus raphanistrum L.,Raphanus raphanistrum,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Raphanus sativus L.,Raphanus sativus,naturalised,Raphanus sativus L.,Raphanus sativus,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Rapistrum rugosum (L.) All.,Rapistrum rugosum,naturalised,Rapistrum rugosum (L.) All.,Rapistrum rugosum,naturalised,(L.) All.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Reboulia hemisphaerica (L.) Raddi,Reboulia hemisphaerica,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Reichardia tingitana (L.) Roth,Reichardia tingitana,naturalised,Reichardia tingitana (L.) Roth,Reichardia tingitana,naturalised,(L.) Roth,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Reseda alba L.,Reseda alba,naturalised,Reseda alba L.,Reseda alba,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Reseda lutea L.,Reseda lutea,naturalised,Reseda lutea L.,Reseda lutea,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Reseda luteola L.,Reseda luteola,naturalised,Reseda luteola L.,Reseda luteola,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Reseda phyteuma L.,Reseda phyteuma,naturalised,Reseda phyteuma L.,Reseda phyteuma,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Rhacocarpus purpurascens (Brid.) Paris,Rhacocarpus purpurascens,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Rhagodia candolleana Moq.,Rhagodia candolleana,naturalised,Rhagodia candolleana Moq.,Rhagodia candolleana,native,Moq.,accepted,"According to the state flora is naturalised, while according to the APC is native",naturalised,introduced,established
Rhagodia candolleana subsp. candolleana NA,Rhagodia candolleana subsp. candolleana,native,Rhagodia candolleana Moq. subsp. candolleana,Rhagodia candolleana subsp. candolleana,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Rhagodia crassifolia R.Br.,Rhagodia crassifolia,native,Rhagodia crassifolia R.Br.,Rhagodia crassifolia,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Rhagodia parabolica R.Br.,Rhagodia parabolica,native,Rhagodia parabolica R.Br.,Rhagodia parabolica,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Rhagodia spinescens R.Br.,Rhagodia spinescens,native,Rhagodia spinescens R.Br.,Rhagodia spinescens,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Rhamnus alaternus L.,Rhamnus alaternus,naturalised,Rhamnus alaternus L.,Rhamnus alaternus,naturalised,L.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Rhaphidorrhynchium amoenum (Hedw.) M.Fleisch.,Rhaphidorrhynchium amoenum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Rhaphiolepis umbellata (Thunb.) Makino,Rhaphiolepis umbellata,introduced,Rhaphiolepis umbellata (Thunb.) Makino,Rhaphiolepis umbellata,doubtfully naturalised,(Thunb.) Makino,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,casual
Rhizogonium distichum (Sw.) Brid.,Rhizogonium distichum,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Rhizogonium novae-hollandiae (Brid.) Brid.,Rhizogonium novae-hollandiae,native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Rhodanthe floribunda (DC.) Paul G.Wilson,Rhodanthe floribunda,native,Rhodanthe floribunda (A.Cunn. ex DC.) Paul G.Wilson,Rhodanthe floribunda,native,(A.Cunn. ex DC.) Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
