State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Portulaca pilosa L.,Portulaca pilosa,naturalised,Portulaca pilosa L.,Portulaca pilosa,native,L.,accepted,"According to the state flora is naturalised, while according to the APC is native",naturalised,introduced,established
Portulaca sp. Berkeley River (M.D. Barrett MDB 4766) NA,Portulaca sp. Berkeley River (M.D. Barrett MDB 4766),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Portulaca sp. finely echinate (D.G. Tulloch 41) NA,Portulaca sp. finely echinate (D.G. Tulloch 41),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Portulaca sp. Kongorow Pool (M.D. Barrett & K.W. Dixon MDB 4556) NA,Portulaca sp. Kongorow Pool (M.D. Barrett & K.W. Dixon MDB 4556),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Portulaca sp. Kununurra (M.D. Barrett MDB 5981) NA,Portulaca sp. Kununurra (M.D. Barrett MDB 5981),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Portulaca sp. Morgan River (M.D. Barrett 1549) NA,Portulaca sp. Morgan River (M.D. Barrett 1549),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Portulaca sp. rock pools (K.A. Menkhorst 310) NA,Portulaca sp. rock pools (K.A. Menkhorst 310),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Portulaca sp. Theda Station (R.L. Barrett & M.D. Barrett RLB 3285) NA,Portulaca sp. Theda Station (R.L. Barrett & M.D. Barrett RLB 3285),native,NA,NA,NA,NA,NA,Not listed on the APC with the name appearing on the state flora,native,native,native
Portulacaria afra (L.) Jacq.,Portulacaria afra,naturalised,Portulacaria afra (L.) Jacq.,Portulacaria afra,naturalised,(L.) Jacq.,accepted,Similar for the state flora and the APC,naturalised,introduced,established
Posidonia angustifolia Cambridge & J.Kuo,Posidonia angustifolia,native,Posidonia angustifolia Cambridge & J.Kuo,Posidonia angustifolia,native,Cambridge & J.Kuo,accepted,Similar for the state flora and the APC,native,native,native
Posidonia australis Hook.f.,Posidonia australis,native,Posidonia australis Hook.f.,Posidonia australis,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Posidonia coriacea Cambridge & J.Kuo,Posidonia coriacea,native,Posidonia coriacea Cambridge & J.Kuo,Posidonia coriacea,native,Cambridge & J.Kuo,accepted,Similar for the state flora and the APC,native,native,native
Posidonia denhartogii J.Kuo & Cambridge,Posidonia denhartogii,native,Posidonia denhartogii J.Kuo & Cambridge,Posidonia denhartogii,native,J.Kuo & Cambridge,accepted,Similar for the state flora and the APC,native,native,native
Posidonia kirkmanii J.Kuo & Cambridge,Posidonia kirkmanii,native,Posidonia kirkmanii J.Kuo & Cambridge,Posidonia kirkmanii,native,J.Kuo & Cambridge,accepted,Similar for the state flora and the APC,native,native,native
Posidonia ostenfeldii Hartog,Posidonia ostenfeldii,native,Posidonia ostenfeldii Hartog,Posidonia ostenfeldii,native,Hartog,accepted,Similar for the state flora and the APC,native,native,native
Posidonia robertsoniae J.Kuo & Cambridge,Posidonia robertsoniae,native,Posidonia robertsoniae J.Kuo & Cambridge,Posidonia robertsoniae,native,J.Kuo & Cambridge,accepted,Similar for the state flora and the APC,native,native,native
