State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Duboisia hopwoodii (F.Muell.) F.Muell.,Duboisia hopwoodii,native,Duboisia hopwoodii (F.Muell.) F.Muell.,Duboisia hopwoodii,native,(F.Muell.) F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Dubouzetia australiensis Coode,Dubouzetia australiensis,native,Dubouzetia australiensis Coode,Dubouzetia australiensis,native,Coode,accepted,Similar for the state flora and the APC,native,native,native
Duma florulenta (Meisn.) T.M.Schust.,Duma florulenta,native,Duma florulenta (Meisn.) T.M.Schust.,Duma florulenta,native,(Meisn.) T.M.Schust.,accepted,Similar for the state flora and the APC,native,native,native
Dunbaria rotundifolia (Lour.) Merr.,Dunbaria rotundifolia,native,Dunbaria rotundifolia (Lour.) Merr.,Dunbaria rotundifolia,native,(Lour.) Merr.,accepted,Similar for the state flora and the APC,native,native,native
Dunbaria singuliflora F.Muell.,Dunbaria singuliflora,native,Dunbaria singuliflora F.Muell.,Dunbaria singuliflora,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Duperreya commixta (Staples) Staples,Duperreya commixta,native,Duperreya commixta (Staples) Staples,Duperreya commixta,native,(Staples) Staples,accepted,Similar for the state flora and the APC,native,native,native
Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,native,Dysoxylum acutangulum Miq.,Dysoxylum acutangulum,native,Miq.,accepted,Similar for the state flora and the APC,native,native,native
Dysoxylum acutangulum Miq. subsp. foveolatum (Radlk.) Mabb.,Dysoxylum acutangulum subsp. foveolatum,native,Dysoxylum acutangulum subsp. foveolatum (Radlk.) Mabb.,Dysoxylum acutangulum subsp. foveolatum,native,(Radlk.) Mabb.,accepted,Similar for the state flora and the APC,native,native,native
Dysoxylum latifolium Benth.,Dysoxylum latifolium,native,Dysoxylum latifolium Benth.,Dysoxylum latifolium,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Dysphania cristata (F.Muell.) Mosyakin & Clemants,Dysphania cristata,native,Dysphania cristata (F.Muell.) Mosyakin & Clemants,Dysphania cristata,native,(F.Muell.) Mosyakin & Clemants,accepted,Similar for the state flora and the APC,native,native,native
Dysphania glomulifera (Nees) Paul G.Wilson,Dysphania glomulifera,native,Dysphania glomulifera (Nees) Paul G.Wilson,Dysphania glomulifera,native,(Nees) Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Dysphania glomulifera (Nees) Paul G.Wilson subsp. eremaea Paul G.Wilson,Dysphania glomulifera subsp. eremaea,native,Dysphania glomulifera subsp. eremaea Paul G.Wilson,Dysphania glomulifera subsp. eremaea,native,Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Dysphania kalpari Paul G.Wilson,Dysphania kalpari,native,Dysphania kalpari Paul G.Wilson,Dysphania kalpari,native,Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Dysphania melanocarpa (J.M.Black) Mosyakin & Clemants,Dysphania melanocarpa,native,Dysphania melanocarpa (J.M.Black) Mosyakin & Clemants,Dysphania melanocarpa,native,(J.M.Black) Mosyakin & Clemants,accepted,Similar for the state flora and the APC,native,native,native
Dysphania plantaginella F.Muell.,Dysphania plantaginella,native,Dysphania plantaginella F.Muell.,Dysphania plantaginella,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Dysphania platycarpa Paul G.Wilson,Dysphania platycarpa,native,Dysphania platycarpa Paul G.Wilson,Dysphania platycarpa,native,Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Dysphania pumilio (R.Br.) Mosyakin & Clemants,Dysphania pumilio,native,Dysphania pumilio (R.Br.) Mosyakin & Clemants,Dysphania pumilio,native,(R.Br.) Mosyakin & Clemants,accepted,Similar for the state flora and the APC,native,native,native
Dysphania rhadinostachya (F.Muell.) A.J.Scott,Dysphania rhadinostachya,native,Dysphania rhadinostachya (F.Muell.) A.J.Scott,Dysphania rhadinostachya,native,(F.Muell.) A.J.Scott,accepted,Similar for the state flora and the APC,native,native,native
Dysphania rhadinostachya (F.Muell.) A.J.Scott subsp. inflata (Aellen) Paul G.Wilson,Dysphania rhadinostachya subsp. inflata,native,Dysphania rhadinostachya subsp. inflata (Aellen) Paul G.Wilson,Dysphania rhadinostachya subsp. inflata,native,(Aellen) Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Dysphania rhadinostachya (F.Muell.) A.J.Scott subsp. rhadinostachya,Dysphania rhadinostachya subsp. rhadinostachya,native,Dysphania rhadinostachya (F.Muell.) A.J.Scott subsp. rhadinostachya,Dysphania rhadinostachya subsp. rhadinostachya,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Dysphania simulans F.Muell. & Tate,Dysphania simulans,native,Dysphania simulans F.Muell. & Tate,Dysphania simulans,native,F.Muell. & Tate,accepted,Similar for the state flora and the APC,native,native,native
Dysphania sphaerosperma Paul G.Wilson,Dysphania sphaerosperma,native,Dysphania sphaerosperma Paul G.Wilson,Dysphania sphaerosperma,native,Paul G.Wilson,accepted,Similar for the state flora and the APC,native,native,native
Dysphania truncata (Paul G.Wilson) Mosyakin & Clemants,Dysphania truncata,native,Dysphania truncata (Paul G.Wilson) Mosyakin & Clemants,Dysphania truncata,native,(Paul G.Wilson) Mosyakin & Clemants,accepted,Similar for the state flora and the APC,native,native,native
Echinochloa colona (L.) Link,Echinochloa colona,native,Echinochloa colona (L.) Link,Echinochloa colona,naturalised,(L.) Link,accepted,"According to the state flora is native, while according to the APC is naturalised",naturalised,introduced,established
Echinochloa crus-galli (L.) P.Beauv.,Echinochloa crus-galli,introduced,Echinochloa crus-galli (L.) P.Beauv.,Echinochloa crus-galli,naturalised,(L.) P.Beauv.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Echinochloa dietrichiana P.W.Michael,Echinochloa dietrichiana,native,Echinochloa dietrichiana P.W.Michael,Echinochloa dietrichiana,native,P.W.Michael,accepted,Similar for the state flora and the APC,native,native,native
