State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Luzula novae-cambriae,native,Luzula novae-cambriae Gand.,Luzula novae-cambriae,native,Gand.,accepted,Similar for the state flora and the APC,native,native,native
Luzula ovata,native,Luzula ovata Edgar,Luzula ovata,native,Edgar,accepted,Similar for the state flora and the APC,native,native,native
Lycium ferocissimum,introduced,Lycium ferocissimum Miers,Lycium ferocissimum,naturalised,Miers,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Lycopodium fastigiatum,native,Lycopodium fastigiatum R.Br.,Lycopodium fastigiatum,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Lycopus australis,native,Lycopus australis R.Br.,Lycopus australis,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Lyperanthus suaveolens,native,Lyperanthus suaveolens R.Br.,Lyperanthus suaveolens,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Lysimachia arvensis,introduced,Lysimachia arvensis (L.) U.Manns & Anderb.,Lysimachia arvensis,naturalised,(L.) U.Manns & Anderb.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Lysimachia minima,introduced,Lysimachia minima (L.) U.Manns & Anderb.,Lysimachia minima,naturalised,(L.) U.Manns & Anderb.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Lythrum hyssopifolia,native,Lythrum hyssopifolia L.,Lythrum hyssopifolia,native,L.,accepted,Similar for the state flora and the APC,native,native,native
Lythrum salicaria,native,Lythrum salicaria L.,Lythrum salicaria,native,L.,accepted,Similar for the state flora and the APC,native,native,native
Maireana microphylla,uncertain origin,Maireana microphylla (Moq.) Paul G.Wilson,Maireana microphylla,NA,(Moq.) Paul G.Wilson,accepted,Not recorded on the APC as present in this state,uncertain origin,uncertain,uncertain
Malus domestica,introduced,Malus domestica (Suckow) Borkh.,Malus domestica,naturalised,(Suckow) Borkh.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Malva neglecta,introduced,Malva neglecta Wallr.,Malva neglecta,naturalised,Wallr.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Malva nicaeensis,introduced,Malva nicaeensis All.,Malva nicaeensis,doubtfully naturalised,All.,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Malva parviflora,introduced,Malva parviflora L.,Malva parviflora,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Marrubium vulgare,introduced,Marrubium vulgare L.,Marrubium vulgare,naturalised,L.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Marsilea costulifera,native,Marsilea costulifera D.L.Jones,Marsilea costulifera,native,D.L.Jones,accepted,Similar for the state flora and the APC,native,native,native
Marsilea hirsuta,native,Marsilea hirsuta R.Br.,Marsilea hirsuta,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
