State_name,State_canonical_name,State_Alien_Status,APC_name,APC_canonical_name,APC_Alien_Status,APC_Authorship,taxa_status,Status_comparison,Unified_status,establishment_means,degree_of_establishment
Eleusine indica (L.) Gaertn.,Eleusine indica,introduced,Eleusine indica (L.) Gaertn.,Eleusine indica,doubtfully naturalised,(L.) Gaertn.,accepted,"According to the state flora is introduced, while according to the APC is doubtfully naturalised",doubtfully naturalised,introduced,established
Eleusine tristachya (Lam.) Lam.,Eleusine tristachya,introduced,Eleusine tristachya (Lam.) Lam.,Eleusine tristachya,NA,(Lam.) Lam.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Elodea canadensis Michx.,Elodea canadensis,introduced,Elodea canadensis Michx.,Elodea canadensis,naturalised,Michx.,accepted,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Elytrigia repens (L.) Desv. ex Nevski,Elytrigia repens,native,Elytrigia repens (L.) Desv. ex Nevski,Elytrigia repens,naturalised,(L.) Desv. ex Nevski,accepted,"According to the state flora is native, while according to the APC is naturalised",naturalised,introduced,established
Emex australis Steinh.,Emex australis,introduced,Rumex hypogaeus T.M.Schust. & Reveal,Rumex hypogaeus,naturalised,T.M.Schust. & Reveal,nomenclatural synonym,"According to the state flora is introduced, while according to the APC is naturalised",naturalised,introduced,established
Empodisma minus (Hook.f.) L.A.S.Johnson & D.F.Cutler,Empodisma minus,native,Empodisma minus (Hook.f.) L.A.S.Johnson & D.F.Cutler,Empodisma minus,native,(Hook.f.) L.A.S.Johnson & D.F.Cutler,accepted,Similar for the state flora and the APC,native,native,native
Enneapogon nigricans (R.Br.) P.Beauv.,Enneapogon nigricans,introduced,Enneapogon nigricans (R.Br.) P.Beauv.,Enneapogon nigricans,NA,(R.Br.) P.Beauv.,accepted,Not recorded on the APC as present in this state,introduced,introduced,not enough information to assign degree of establishment
Epacris acuminata Benth.,Epacris acuminata,native,Epacris acuminata Benth.,Epacris acuminata,native,Benth.,accepted,Similar for the state flora and the APC,native,native,native
Epacris apsleyensis Crowden,Epacris apsleyensis,native,Epacris apsleyensis Crowden,Epacris apsleyensis,native,Crowden,accepted,Similar for the state flora and the APC,native,native,native
Epacris barbata Melville,Epacris barbata,native,Epacris barbata Melville,Epacris barbata,native,Melville,accepted,Similar for the state flora and the APC,native,native,native
Epacris cerasicollina Crowden,Epacris cerasicollina,native,Epacris cerasicollina Crowden,Epacris cerasicollina,native,Crowden,accepted,Similar for the state flora and the APC,native,native,native
Epacris corymbiflora Hook.f.,Epacris corymbiflora,native,Epacris corymbiflora Hook.f.,Epacris corymbiflora,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Epacris curtisiae Jarman,Epacris curtisiae,native,Epacris curtisiae Jarman,Epacris curtisiae,native,Jarman,accepted,Similar for the state flora and the APC,native,native,native
Epacris exserta R.Br.,Epacris exserta,native,Epacris exserta R.Br.,Epacris exserta,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Epacris franklinii Hook.f.,Epacris franklinii,native,Epacris franklinii Hook.f.,Epacris franklinii,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Epacris glabella Jarman,Epacris glabella,native,Epacris glabella Jarman,Epacris glabella,native,Jarman,accepted,Similar for the state flora and the APC,native,native,native
Epacris grandis Crowden,Epacris grandis,native,Epacris grandis Crowden,Epacris grandis,native,Crowden,accepted,Similar for the state flora and the APC,native,native,native
Epacris graniticola Crowden,Epacris graniticola,native,Epacris graniticola Crowden,Epacris graniticola,native,Crowden,accepted,Similar for the state flora and the APC,native,native,native
Epacris gunnii Hook.f.,Epacris gunnii,native,Epacris gunnii Hook.f.,Epacris gunnii,native,Hook.f.,accepted,Similar for the state flora and the APC,native,native,native
Epacris heteronema Labill. var. gigantea F.Muell.,Epacris heteronema var. gigantea,native,Epacris heteronema var. gigantea F.Muell.,Epacris heteronema var. gigantea,native,F.Muell.,accepted,Similar for the state flora and the APC,native,native,native
Epacris heteronema Labill. var. heteronema,Epacris heteronema var. heteronema,native,Epacris heteronema Labill. var. heteronema,Epacris heteronema var. heteronema,native,NA,accepted,Similar for the state flora and the APC,native,native,native
Epacris heteronema var. planifolia,Epacris heteronema var. planifolia,native,NA,NA,NA,NA,pro parte taxonomic synonym,"It corresponds to several accepted names on the APC due to have been pro parte misapplied, therefore it is impossible to assign one",native,native,native
Epacris impressa Labill.,Epacris impressa,native,Epacris impressa Labill.,Epacris impressa,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Epacris lanuginosa Labill.,Epacris lanuginosa,native,Epacris lanuginosa Labill.,Epacris lanuginosa,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
Epacris limbata K.J.Williams & F.Duncan,Epacris limbata,native,Epacris limbata K.J.Williams & F.Duncan,Epacris limbata,native,K.J.Williams & F.Duncan,accepted,Similar for the state flora and the APC,native,native,native
Epacris marginata Melville,Epacris marginata,native,Epacris marginata Melville,Epacris marginata,native,Melville,accepted,Similar for the state flora and the APC,native,native,native
Epacris moscaliana Crowden,Epacris moscaliana,native,Epacris moscaliana Crowden,Epacris moscaliana,native,Crowden,accepted,Similar for the state flora and the APC,native,native,native
Epacris mucronulata R.Br.,Epacris mucronulata,native,Epacris mucronulata R.Br.,Epacris mucronulata,native,R.Br.,accepted,Similar for the state flora and the APC,native,native,native
Epacris myrtifolia Labill.,Epacris myrtifolia,native,Epacris myrtifolia Labill.,Epacris myrtifolia,native,Labill.,accepted,Similar for the state flora and the APC,native,native,native
